model,scene,n_cams,MPJPE,MOTA,MOTP,Precision,Recall,t_detection,t_matching_old,t_matching_new,t_update,t_create_new,t_prediction
yolo26s-pose,161029_build1,4,5.645452560354648,0.44473759269823165,5.220441056044931,0.967751612419379,0.4600684540787222,0.08676936315368525,0.02090701550463733,0.00021852139827049458,0.011220598518301877,5.487463234647632e-05,0.0004944987015796658
yolo26s-pose,160224_haggling1,4,6.788244654250841,0.8794028200165883,5.052762884801623,0.9270218021694769,0.9545479679292231,0.0893085532078403,0.016575442428242725,0.0003410829975735396,0.01266187527392758,6.050587590628614e-05,0.0004465465332265012
yolo26m-pose,171204_pose6,4,4.407102250328418,0.9665404743347066,4.268781350960285,0.9799834116671274,0.9866941320565639,0.26229885618181975,0.018283077865324963,8.789092880014523e-05,0.0061544242472563225,2.712589093973836e-05,0.000494086018622877
yolo26m-pose,161029_piano4,4,5.428894989270408,0.9867147038955191,5.428894989270408,0.9868888888888889,1.0,0.2724676407574702,0.015790154613250503,7.21838915358401e-05,0.005672358118948372,1.951680946189703e-05,0.0005277442063993981
yolo26m-pose,170915_office1,4,4.455099808941706,0.9904231625835189,4.3942343047161145,0.9962062039723276,0.9942093541202672,0.2552142169369617,0.017732437549437034,7.458808718688994e-05,0.0061765692248655895,2.8229607566673723e-05,0.000521080518180194
yolo26m-pose,161029_build1,4,5.275046920360438,0.45315173987450086,4.962326623114017,0.976172635995804,0.4644894466628637,0.2484730442617272,0.019990265517201827,0.000254297111635868,0.010707874878527607,3.6884888618789224e-05,0.00046298540561787546
yolo26m-pose,160224_haggling1,4,7.0245237977338375,0.8700027647221454,4.669942330947964,0.9200213561131874,0.95283384019906,0.22101885347567732,0.01690693545305403,0.00016513069696181144,0.012819337931011494,5.240503447130322e-05,0.0004461103402776644
yolo26l-pose,171204_pose6,4,4.578386184257123,0.9742233604275693,4.507511922641356,0.9833710844704713,0.9909809598040308,0.25506264567961495,0.017479639718901704,7.804140874166525e-05,0.005962701414395789,3.3519320773541344e-05,0.00048823587525660147
yolo26l-pose,161029_piano4,4,2.742100475535729,0.9867147038955191,2.742100475535729,0.9868888888888889,1.0,0.254670332928324,0.015654610522169,7.399601065036323e-05,0.005619692930770624,1.821028350645469e-05,0.0005262815969116572
yolo26l-pose,170915_office1,4,4.806842345077176,0.9957683741648107,4.784734972980325,0.9988841776389199,0.9968819599109131,0.2604864431407122,0.01785386866387368,7.670525467256084e-05,0.0061233536543182305,2.603325424974577e-05,0.0005192438995776077
yolo26l-pose,161029_build1,4,5.116410671753197,0.45029948659440955,4.740714983342873,0.9733173437265777,0.4629920136908157,0.2651052800160467,0.02081233689542535,0.00015936310163280808,0.010984186437730555,4.12348476793552e-05,0.0005015371159632111
yolo26l-pose,160224_haggling1,4,5.5264050996929095,0.8914570085706387,4.486707322988999,0.9292789434444563,0.9648880287531103,0.2712442242244569,0.016567356159281916,0.00018428715290501715,0.012705324287576756,5.449234969758739e-05,0.00044497969625517723
